Date,Open,High,Low,Close,Adj Close,Volume
2017-09-28,67.370003,67.580002,66.720001,67.070000,67.070000,1160200
2017-09-29,67.000000,67.320000,66.250000,66.430000,66.430000,2100700
2017-10-02,64.779999,67.360001,64.500000,66.400002,66.400002,2041800
2017-10-03,66.180000,66.720001,65.379997,65.519997,65.519997,2133100
2017-10-04,65.260002,66.269997,64.639999,65.949997,65.949997,2426100
2017-10-05,66.370003,66.529999,65.879997,66.430000,66.430000,1019400
2017-10-06,66.050003,66.900002,66.040001,66.849998,66.849998,816100
2017-10-09,67.139999,67.139999,65.430000,65.529999,65.529999,1105800
2017-10-10,65.830002,66.309998,63.139999,63.810001,63.810001,3396100
2017-10-11,64.019997,64.500000,63.279999,63.480000,63.480000,1559200
2017-10-12,63.470001,63.750000,62.810001,63.490002,63.490002,1855200
2017-10-13,63.590000,63.860001,63.130001,63.549999,63.549999,1808700
2017-10-16,63.799999,64.300003,63.470001,64.269997,64.269997,1857100
2017-10-17,64.309998,64.970001,63.970001,63.970001,63.970001,2619000
2017-10-18,64.029999,64.349998,63.259998,63.279999,63.279999,1326600
2017-10-19,62.580002,63.610001,62.389999,63.580002,63.580002,1677600
2017-10-20,63.900002,64.580002,63.709999,64.089996,64.089996,830500
2017-10-23,64.849998,65.199997,64.010002,64.230003,64.230003,1002500
2017-10-24,64.330002,65.699997,63.849998,65.410004,65.410004,1455900
2017-10-25,66.190002,66.309998,64.760002,65.139999,65.139999,1247000
2017-10-26,65.239998,66.720001,65.099998,66.669998,66.669998,1362500
2017-10-27,67.199997,67.470001,66.500000,66.650002,66.650002,1579100
2017-10-30,66.739998,66.830002,65.610001,66.339996,66.339996,1097800
2017-10-31,66.680000,67.830002,66.510002,67.300003,67.300003,1496200
2017-11-01,67.559998,67.779999,66.519997,66.989998,66.989998,2168700
2017-11-02,66.599998,66.959999,66.169998,66.550003,66.550003,997800
2017-11-03,65.879997,67.669998,65.730003,67.629997,67.629997,999700
2017-11-06,67.629997,69.110001,67.629997,68.410004,68.410004,1065600
2017-11-07,68.690002,69.239998,67.739998,68.000000,68.000000,856900
2017-11-08,68.099998,71.309998,67.910004,71.160004,71.160004,2555800
2017-11-09,70.330002,71.459999,69.360001,70.779999,70.779999,1460400
2017-11-10,70.360001,70.959999,69.709999,69.739998,69.739998,1847800
2017-11-13,69.750000,70.250000,67.680000,67.739998,67.739998,2061000
2017-11-14,67.510002,68.800003,67.389999,68.349998,68.349998,1847600
2017-11-15,68.000000,68.449997,67.010002,67.730003,67.730003,1198700
2017-11-16,68.300003,69.889999,68.300003,69.300003,69.300003,3691900
2017-11-17,79.040001,81.989998,78.220001,81.699997,81.699997,13219800
2017-11-20,81.040001,81.699997,80.389999,81.349998,81.349998,3605700
2017-11-21,81.320000,84.879997,81.260002,83.779999,83.779999,3394700
2017-11-22,83.779999,84.589996,83.160004,83.529999,83.529999,1422800
2017-11-24,83.760002,84.470001,83.570000,84.099998,84.099998,584100
2017-11-27,84.000000,84.519997,81.820000,82.089996,82.089996,2068400
2017-11-28,82.570000,82.839996,81.110001,81.419998,81.419998,2471000
2017-11-29,81.570000,82.370003,78.419998,79.489998,79.489998,2699100
2017-11-30,79.330002,80.580002,78.519997,80.089996,80.089996,1734200
2017-12-01,80.290001,81.139999,78.169998,79.699997,79.699997,1569500
2017-12-04,80.559998,81.019997,76.889999,77.680000,77.680000,2693800
2017-12-05,77.300003,78.620003,77.059998,78.010002,78.010002,1634600
2017-12-06,77.599998,80.540001,77.440002,80.449997,80.449997,1821500
2017-12-07,81.010002,81.709999,80.250000,80.550003,80.550003,1416600
2017-12-08,80.940002,81.559998,79.709999,80.419998,80.419998,2079200
2017-12-11,80.349998,81.900002,80.110001,81.389999,81.389999,2122300
2017-12-12,81.320000,81.529999,79.209999,80.169998,80.169998,1969900
2017-12-13,79.779999,80.910004,79.680000,80.440002,80.440002,1298900
2017-12-14,80.500000,83.050003,80.070000,81.190002,81.190002,2721500
2017-12-15,81.180000,83.879997,80.610001,82.459999,82.459999,2422900
2017-12-18,82.629997,84.440002,82.580002,83.540001,83.540001,1717900
2017-12-19,83.500000,84.500000,82.680000,84.209999,84.209999,1131400
2017-12-20,84.269997,84.440002,81.760002,83.620003,83.620003,1079900
2017-12-21,83.919998,84.300003,83.290001,83.910004,83.910004,1082200
2017-12-22,84.000000,84.000000,82.180000,82.750000,82.750000,792600
2017-12-26,82.349998,82.480003,81.650002,82.269997,82.269997,627900
2017-12-27,82.300003,82.930000,81.900002,82.589996,82.589996,776800
2017-12-28,82.660004,82.839996,81.910004,82.290001,82.290001,662400
2017-12-29,82.260002,83.260002,82.239998,82.839996,82.839996,793400
2018-01-02,83.339996,87.430000,82.959999,86.629997,86.629997,2391300
2018-01-03,87.230003,88.550003,86.139999,88.160004,88.160004,2084900
2018-01-04,88.580002,88.699997,86.500000,87.949997,87.949997,1713700
2018-01-05,88.690002,88.690002,87.639999,87.879997,87.879997,1408500
2018-01-08,88.580002,90.690002,88.199997,89.980003,89.980003,1792900
2018-01-09,90.139999,90.459999,88.110001,89.470001,89.470001,1097600
